condition,stimulus_string
SENTENCES,A PERSON ON A HORSE JUMPS OVER A BROKEN DOWN AIRPLANE
SENTENCES,CHILDREN SMILING AND WAVING AT CAMERA
SENTENCES,A BOY IS JUMPING ON SKATEBOARD IN THE MIDDLE OF A RED BRIDGE
SENTENCES,AN OLDER MAN SITS WITH HIS ORANGE JUICE AT A SMALL TABLE IN A COFFEE SHOP WHILE EMPLOYEES IN BRIGHT COLORED SHIRTS SMILE IN THE BACKGROUND
SENTENCES,TWO BLOND WOMEN ARE HUGGING ONE ANOTHER
SENTENCES,A FEW PEOPLE IN A RESTAURANT SETTING ONE OF THEM IS DRINKING ORANGE JUICE
SENTENCES,AN OLDER MAN IS DRINKING ORANGE JUICE AT A RESTAURANT
SENTENCES,A MAN WITH BLONDHAIR AND A BROWN SHIRT DRINKING OUT OF A PUBLIC WATER FOUNTAIN
SENTENCES,TWO WOMEN WHO JUST HAD LUNCH HUGGING AND SAYING GOODBYE
SENTENCES,TWO WOMEN HOLDING FOOD CARRYOUT CONTAINERS HUG
SENTENCES,A LITTLE LEAGUE TEAM TRIES TO CATCH A RUNNER SLIDING INTO A BASE IN AN AFTERNOON GAME
SENTENCES,THE SCHOOL IS HAVING A SPECIAL EVENT IN ORDER TO SHOW THE AMERICAN CULTURE ON HOW OTHER CULTURES ARE DEALT WITH IN PARTIES
SENTENCES,HIGH FASHION LADIES WAIT OUTSIDE A TRAM BESIDE A CROWD OF PEOPLE IN THE CITY
SENTENCES,A MAN WOMAN AND CHILD ENJOYING THEMSELVES ON A BEACH
SENTENCES,PEOPLE WAITING TO GET ON A TRAIN OR JUST GETTING OFF
SENTENCES,A COUPLE PLAYING WITH A LITTLE BOY ON THE BEACH
SENTENCES,A COUPLE PLAY IN THE TIDE WITH THEIR YOUNG SON
SENTENCES,A MAN AND A WOMAN CROSS THE STREET IN FRONT OF A PIZZA AND GYRO RESTAURANT
SENTENCES,A WOMAN IN A GREEN JACKET AND HOOD OVER HER HEAD LOOKING TOWARDS A VALLEY
SENTENCES,WOMAN IN WHITE IN FOREGROUND AND A MAN SLIGHTLY BEHIND WALKING WITH A SIGN FOR JOHNS PIZZA AND GYRO IN THE BACKGROUND
SENTENCES,TWO ADULTS ONE FEMALE IN WHITE WITH SHADES AND ONE MALE GRAY CLOTHES WALKING ACROSS A STREET AWAY FROM A EATERY WITH A BLURRED IMAGE OF A DARK COLORED RED SHIRTED PERSON IN THE FOREGROUND
SENTENCES,A WOMAN WEARING ALL WHITE AND EATING WALKS NEXT TO A MAN HOLDING A BRIEFCASE
